gvkey,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
5959,434,12534.6775107604,13699.621225,4441.77552,3557.71740299253,3775.34976,16888.09573,-1.40136899561274,3.56942819414925
6008,2699,128801.091623829,123350.92,119703.88,26889.4369499772,67188.96,223655.68,0.894706360297144,4.43144471249807
6034,459,802.530391895425,827.74986,881.8003,167.755341253355,482.7093,1165.6512,-0.142840287631934,1.90441410301844
6066,4872,157806.932658647,152325.498,216192.65412,33112.3459199479,84194.42616,242739.689,0.622221036843238,2.63322626424945
6078,1516,3434.80903545514,3387.827,3153.89536,599.67491997703,1958.2605,4842.4448,0.146330328016591,2.86335764044205
6081,1874,2836.29472705576,2722.779205,1389.8906,930.635593542611,1125.06492,5551.92086,0.528241084186513,2.57811278588219
6097,1738,9868.95797920023,10664.97282,2714.726,3657.72308971993,2103.248,16237.55056,-0.410498148244661,1.93838943524381
6104,4872,16800.6756355357,17311.401075,9557.73675,4358.8609345707,1749.56294,26873.35424,-0.754695113909884,3.49536214702397
6135,1743,12286.0873348195,11978.5550348675,6180.90002193945,3665.84531099855,6180.90002193945,21710.4697326417,0.311257158928472,2.48718482999187
6136,4683,6356.86685454794,5824.22544,5142.3424,2261.00187654975,1243.7694,13175.82471,0.261294607561397,2.39053097788907
6266,3031,195670.467978402,181081.9668,163388.0668,41930.4254266754,126018.92925,306395.97968,1.20384908174342,3.24729313277374
6268,937,33220.6495534472,33396.16867,38414.8388,4517.39468707145,17949.9345,41584.853,-0.802780699005225,3.88937071004413
6307,402,6546.80414536567,4579.15723,598.1004,6140.16855669688,343.90773,24151.8975,1.54779708992982,4.79365020157819
6334,517,2315.51955753965,2415.1948,1621.63329,301.677127570259,1351.21632,2747.89684,-1.29794216294008,3.97419093732133
6335,343,1928.25930376093,1917.93056,1784.90606,215.820640706603,1269.0568,2619.30636,0.318646901725704,4.35373815721637
6338,1661,2146.23366518964,2135.18565,1741.4761,327.416915121322,1285.6406,3108.63418,0.225948610691945,3.32971611102004
6375,3506,18683.0500959783,18834.62985,18291.913,3648.57000495848,10215.45046,30447.17504,0.128753596522211,3.24374368820246
6435,2163,27900.6657632131,27592.18234,24045.72225,3406.55585355391,17971.60977,34484.63188,-0.31256520228233,2.50853998739492
6494,4470,37333.1034807082,24379.62058,15967.490304,28024.0103187628,10993.756638,137751.7662,1.73314880331193,5.00243696663834
6502,3700,17449.568762398,14967.71215,14262.4848,6416.2139196356,8822.57712,41562.18872,1.89197109436189,6.17670639044423
6506,3505,64704.6502520954,58676.48397,50613.77184,25418.4383731023,16424.27485,130869.479224,0.279765700663459,1.95703952117241
6512,737,16218.1307222316,16483.18344,14510.78765,1977.95223059001,11076.7911,20992.33657,-0.307827372988688,2.72928380800985
6529,399,3169.50207203008,3344.32395,3559.4559,685.838650997993,1587.9332,4365.98435,-0.600929758793417,2.45522004171397
6649,1772,3809.20930103838,3943.30888,4723.59418,964.632860653135,1601.50997,5833.87344,-0.0293221330400929,2.07920610948577
6653,1984,7602.10007479839,6110.267175,3024.61236,3860.83511045798,1811.52951,16893.4128,0.539120083221794,2.0523861085002
6669,4535,8014.8079212935,7387.3815,2951.3275,5038.09818428036,547.5221,25882.138,0.946084921658163,3.56656406307715
6730,2722,60652.2578325882,61831.03416,37779.84336,14802.1438885804,31563.46952,99014.0923,0.222877201320849,2.46403923470445
6733,2537,8896.37286287663,9021.51402,7203.8898,2796.76912735262,2016.49624,15164.3338,-0.11924804048743,2.76230113617046
6742,2063,10025.1138455841,8271.342,7947.65544,4678.20820839009,1340.74042,20922.95782,0.746687448486449,2.39784812716012
6768,2448,2594.88625036356,3185.90973,208.3532,1564.63747751348,156.2649,4780.08696,-0.345347581137706,1.46103777764004
6771,1290,11012.7736094309,10838.052110071,12831.3058828821,2887.5576537732,5721.4301933488,16830.3872761226,0.467958530795621,2.13798579304209
6774,3702,33530.2185858887,29096.19053,15608.34,12559.66882448,13667.88788,69580.80685,1.1044240788524,3.45220155649641
6781,4827,15133.6676510981,15392.28712,7937.1316,4210.93442586908,7053.3037,28467.80127,0.599796332810924,3.66945636090146
6821,3641,1766.61152032409,1972.6695,836.648,796.907290917173,123.43156,3142.01315,-0.170241611295533,1.73913484696288
6829,3603,40480.4513555576,38317.19556,33959.9232,10748.6365750294,19683.3,73561.64949,0.858484535273923,3.49101434388615
6865,871,1870.03123779564,1744.46571,1210.9827,432.313728515751,1058.52426,3055.0341,0.418572241203939,2.10976331253564
6946,3231,10828.0033958467,8473.93031769779,2231.55574615385,5589.67671363195,2231.55574615385,24477.7512601961,0.876141947047751,2.60209861500626
6972,1609,3973.96600002822,4118.78592,2030.65604,1383.03154424396,1292.10111,8312.614348,0.207935835428313,2.65903200371342
7017,3256,22048.788074336,22355.61598,7163.82448,8914.12649623397,5886.504,45448.01478,0.179264611347437,2.60076645278954
7063,1148,8744.68375788328,8903.496105,3736.22535,3097.79992820042,1786.5572,15497.42832,-0.194702383544461,2.42265729351762
7065,4164,25714.2696382099,20669.2473,15603.6132,13079.820945268,9135.81616,60202.8,0.878036189648156,2.67466145238575
7085,3647,8697.30623601865,8771.1212,3943.5,3518.32991013215,1319.365,17037.44,0.0573969023141454,1.98872888686861
7114,2977,26964.7675425198,27248.512724,17882.75637,6188.66461820156,11357.63539,43031.455726,-0.0491299896353448,2.17009579596154
7116,4846,8257.76022944368,8035.839955,9880.2,2725.69553758144,2507.87733,16261.33784,0.548865494159488,3.28882564827252
7154,4849,80015.2549994235,79942.42718,26820.37912,37954.7791254448,15697.84,170875.81292,0.344571540914663,2.24029162883569
7163,1304,15071.7940953298,15203.09,7862.5,5316.48646567898,5467.62468,24701.908,0.0848079246871987,1.77595194698176
